B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_00630	1155	1429	1476	1169	1065	832	758	772	602	1043	804	1157	637	772	1036	118	131	192	510	402	35	901	987	721	1340	1587	1273	1055	1014	733	1046
B4U62_00635	605	710	686	449	413	369	303	361	279	456	279	538	180	263	426	66	61	80	175	194	12	479	152	115	234	611	496	420	444	339	560
B4U62_00640	5053	8994	11110	8286	6712	5702	4658	6096	5012	7446	5236	6061	4149	4976	5340	639	434	1469	3763	4101	420	4103	444	415	711	3079	3459	3256	6934	4515	6551
B4U62_00645	2544	2429	2561	2414	1822	1445	1330	1143	1001	1439	1129	3278	954	942	946	35	37	103	536	697	122	2705	93	77	94	645	1269	1036	3047	1789	2360
B4U62_00650	5429	4412	4436	4227	2569	2213	1795	1504	1427	2107	1552	6816	942	1173	1074	27	12	123	501	733	83	4975	37	74	61	450	2384	1031	7339	4268	4649
B4U62_00655	9567	6684	5479	5726	3740	3027	2437	4676	3602	6027	2774	11307	1638	2517	4275	110	138	430	1628	1373	103	8955	516	575	675	3824	4618	4573	7762	5213	8591
B4U62_00660	121098	57732	44406	49446	35862	30641	24133	35711	25218	43944	22589	134882	11368	16810	22347	690	902	4087	12196	11247	748	109631	13574	10867	16187	35261	43451	39712	62583	43444	68894
B4U62_00665	89632	46825	38248	38728	28213	23350	18724	30112	22041	39210	18926	99692	10066	14312	21816	929	1115	3794	10701	9580	882	84109	13146	11471	15789	29054	35052	29722	51912	34803	53051
B4U62_00670	105574	40592	29025	32242	20724	16755	14229	27588	17973	31931	15649	117635	7844	11535	15857	452	454	2499	7012	6836	478	95633	3644	3015	4373	32224	38526	33983	48968	33634	56042
B4U62_00675	64564	25674	19211	21207	13845	10503	9724	16349	11700	19857	9915	73907	4867	6950	9899	268	261	1449	4540	4019	291	60625	3201	2873	4006	17540	23524	19261	32027	21228	34610
B4U62_00680	2461	2194	1726	1684	1449	1069	976	1779	1035	1846	866	2070	626	754	1398	82	88	124	442	432	38	1920	165	211	219	672	912	752	1441	934	1469
B4U62_00685	110130	108045	89709	91795	78981	63435	53082	77532	57694	97490	57713	104092	39938	45708	79066	8066	10715	12954	36457	34302	2688	90460	130317	91650	168570	55202	57892	54820	90365	58077	92627
B4U62_00690	120579	118113	100648	99541	98249	70902	60977	81558	59511	101080	67661	114693	51151	56547	89081	9587	11678	17660	46994	40860	4082	93740	431097	301491	565720	83609	76113	70043	93835	57410	93229
B4U62_00695	31982	20484	19159	18507	14759	11526	10268	14085	11243	18490	8979	30434	5795	7765	12426	359	422	2083	5745	5181	522	27116	9058	6891	12001	11448	15396	11677	20375	13208	19693
B4U62_00700	52377	29811	27658	25945	19761	15113	12980	20130	13656	25093	11817	46960	7981	11177	17972	1146	1117	2716	7487	7070	541	43791	19365	14200	23719	19973	21145	19594	30481	19617	29126
B4U62_00705	58263	36823	33175	32298	25455	18669	16427	24050	18258	31038	14743	55654	10890	14697	22318	778	959	3186	9618	9250	858	50181	27301	22201	33458	23314	25781	21195	37296	23838	34055
B4U62_00710	307905	196264	166058	163889	133874	94381	82685	128950	90024	158491	76775	296966	60252	74498	119519	9568	12275	24253	58583	50508	5133	264194	147652	113282	185747	129971	134597	112423	200212	128596	191577
B4U62_00715	361450	236356	203590	204359	159063	116752	100897	127607	92589	157377	92830	400589	57073	70157	106061	9701	10306	24237	57410	52364	4512	318347	130814	103325	157100	216219	200632	197557	250843	162540	257922
B4U62_00720	568	718	674	662	691	739	559	580	483	748	657	521	449	521	794	49	44	115	268	287	14	450	127	83	177	325	386	323	662	446	622
