B1	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B2	B20	B21	B22	B23	B24	B25	B26	B27	B28	B3	B32	B33	B34	B4	B5	B6	B7	B8	B9
B4U62_18910	923	53806	47807	46678	33553	32600	26196	18381	18181	27486	25107	1345	7374	7378	1564	212	291	720	3635	5110	116	755	394	412	650	115296	91042	90001	46355	36393	43876
B4U62_18915	1041	1854	1607	1631	2559	2395	1918	1746	1713	2429	1939	1163	1674	1810	2417	282	334	908	1276	2061	105	940	2794	2676	3239	624	587	530	921	650	879
B4U62_18920	212	497	427	387	578	625	471	592	453	694	521	234	712	689	1065	96	87	410	693	1003	38	205	822	931	849	152	164	144	246	155	225
B4U62_18925	4170	10530	8732	8231	11195	10117	8013	9648	7848	12004	11862	4381	9278	9947	11731	922	783	3193	5280	8557	510	3589	15182	14242	15463	3155	2827	2898	4757	3369	4500
B4U62_18930	836	1669	1354	1513	1108	1078	785	1385	967	1597	1614	863	940	1084	793	54	48	104	383	354	21	734	828	876	719	499	543	531	1004	724	1115
B4U62_18935	1306	241	279	238	210	228	172	136	139	233	235	1232	93	113	218	16	6	21	91	72	6	961	6	13	29	78	118	94	220	155	209
B4U62_18940	362	242	247	214	221	352	257	235	217	353	208	335	143	168	456	10	21	96	127	243	39	279	636	506	769	57	47	46	135	75	104
B4U62_18945	7916	13143	11779	10447	12264	14465	12484	13066	11145	16920	10012	9035	7178	8236	31947	3881	5583	11227	15150	23090	1937	6402	27919	25252	35998	5747	4253	4610	7569	4664	7578
B4U62_18950	3388	6741	5906	5168	11010	8680	7673	7956	6468	9467	6465	3584	5651	6210	13154	1919	2564	5248	7862	12492	877	2475	3756	3449	3816	1898	1657	1818	3474	2203	3581
B4U62_18955	989	11239	8186	8152	15183	14832	11216	6544	7204	8642	6155	970	3598	4329	5883	251	290	2640	4329	12397	810	793	1632	1577	1500	799	1527	1014	1308	872	1011
B4U62_18960	2157	853	737	727	1581	1295	1167	772	769	985	1613	1721	1607	1524	1792	595	563	821	969	1444	71	1742	9855	6029	12090	168	148	132	245	148	221
B4U62_18965	625	315	313	283	456	400	326	304	234	388	507	597	474	426	550	114	97	121	240	209	15	499	5741	3579	7096	111	119	114	223	133	201
B4U62_18970	1148	516	495	508	740	720	570	539	469	683	810	984	771	693	831	302	367	151	276	297	21	994	6543	4277	9195	221	225	210	359	225	322
B4U62_18975	10254	4157	3709	3706	3140	2406	2178	2662	2022	3367	2843	12698	1519	1915	2476	480	735	617	1566	1466	99	8780	2173	1767	2953	3848	3449	3430	5556	3770	6733
B4U62_18980	3466	764	616	622	859	772	624	722	554	893	668	4383	488	514	617	11	13	46	252	209	20	3052	142	129	182	519	884	701	1204	1002	1375
B4U62_18985	137	2229	1744	1978	4351	4772	3247	5233	4386	7021	3678	183	3453	3380	3878	183	180	126	331	400	61	125	105	96	181	113	129	113	288	206	250
B4U62_18990	11667	8127	6011	6758	3834	3357	2473	4409	3048	5832	2874	14246	1385	1858	3284	337	499	874	2341	2088	249	10328	1886	1490	2456	3729	4971	4750	9992	7148	9482
B4U62_18995	5568	4550	3762	3851	1960	1984	1452	2890	2028	3825	1753	6454	816	1227	2287	74	101	445	1280	1181	103	4782	283	281	346	1795	2898	2748	4757	3033	4538
B4U62_19000	3946	4984	4933	4778	5707	4907	4343	2232	2172	2947	2164	4584	1104	1407	1859	121	91	315	901	1051	67	3355	848	809	865	1745	1931	1943	3900	2863	4728
B4U62_19005	155	329	298	238	228	201	218	219	186	280	165	159	137	151	160	34	31	28	82	76	6	170	174	137	326	90	97	79	171	109	190
B4U62_19010	11209	11632	10199	9873	9169	7808	6663	8429	6385	10105	7017	12448	4135	5297	8172	455	594	1336	3689	3642	270	9811	7656	5867	8860	10481	9459	9426	11790	8211	12567
B4U62_19015	28486	36836	32093	31847	30636	26814	22716	24033	18145	27934	24902	31798	15373	18714	23671	2445	2919	5114	13043	14098	1294	24674	36006	27468	40765	35683	28467	29749	34728	23968	34290
B4U62_19020	25205	112387	92407	94319	104999	82059	68795	48118	41848	53903	53298	28935	38305	44059	41845	5202	4474	15233	33437	68876	4236	20174	151279	142241	170506	419639	292147	327574	120152	94378	96877
B4U62_19025	3169	777	642	656	565	426	347	360	310	412	361	3522	265	393	301	10	2	59	152	164	23	2904	88	67	119	2057	2947	2090	2428	1832	2708
B4U62_19030	1969	517	536	433	359	305	256	277	202	323	297	2176	210	315	270	16	21	46	90	102	10	1682	152	108	148	3328	2825	2667	1643	1291	1702
B4U62_19035	1902	466	440	372	358	253	238	245	233	322	317	1871	199	331	268	16	17	38	121	99	5	1597	86	70	112	3279	2933	2468	1379	1161	1619
B4U62_19040	10236	2557	2318	2101	1988	1349	1198	1251	1016	1442	1400	10506	975	1753	1236	31	50	205	427	565	40	8876	674	532	686	15653	14328	12385	7903	6350	9188
B4U62_19045	2186	354	359	361	316	202	194	223	176	230	227	2437	147	335	166	4	3	33	63	86	5	1975	17	28	136	968	1249	1020	1560	1240	1861
B4U62_19050	216344	36061	28596	29613	26131	18622	16065	17920	14103	20068	27439	238987	14283	29886	9871	301	357	4571	7532	9002	567	181124	25320	18663	24784	879776	661270	671714	217650	189003	235696
B4U62_19055	322	130	114	110	129	155	127	88	85	142	116	353	79	84	144	3	6	6	29	54	4	290	40	38	36	260	243	232	258	197	210
B4U62_19060	757	317	245	276	333	273	214	229	216	329	254	761	182	232	323	16	5	37	117	108	13	717	95	92	115	577	699	485	515	385	581
B4U62_19065	740	287	298	249	298	256	193	225	207	306	286	707	173	296	365	25	28	48	111	129	10	593	113	133	147	972	888	725	552	427	616
B4U62_19070	11483	2869	2532	2499	2035	1573	1398	1406	1309	1695	1980	13239	1199	1961	1951	52	42	345	951	1032	150	10029	1475	1150	1399	19423	16900	15254	7792	5882	8206
B4U62_19075	12657	3989	3315	3196	2847	2420	2015	2164	1969	2954	3020	13601	1963	3054	3338	169	163	604	1798	1752	187	11180	1785	1764	1587	17494	15547	12359	8370	6268	9341
B4U62_19080	4139	1435	1159	1151	1098	1031	774	976	751	1150	1348	4319	829	1130	1555	42	42	144	550	568	42	3621	758	713	665	5561	4723	3918	2610	2157	3125
B4U62_19085	2028	668	549	569	570	526	458	448	392	565	649	2122	454	586	693	18	13	55	261	320	33	1830	249	231	217	1951	1868	1720	1580	1174	1682
B4U62_19090	3041	1388	1320	1311	1369	1531	1080	1161	1086	1648	1407	3240	1172	1390	1855	77	43	168	716	736	108	2624	422	397	454	1950	2083	1843	2217	1660	2355
B4U62_19095	782	1074	1084	1065	972	1143	920	881	800	1160	1137	883	900	887	1745	171	150	368	1003	887	66	710	391	348	544	568	565	507	849	534	894
B4U62_19100	374	425	402	417	358	362	303	233	223	384	380	418	224	241	411	14	10	60	221	232	9	341	105	76	87	168	221	204	455	271	332
B4U62_19105	310	464	488	507	547	520	391	464	366	521	577	331	449	473	440	82	96	170	665	371	14	288	294	238	416	585	478	441	476	320	516
B4U62_19110	4033	2903	2609	2582	2092	1631	1465	1787	1333	2221	2040	5154	1037	1287	1308	94	138	266	783	761	46	3655	246	177	236	1350	1572	1516	3294	2150	3564
B4U62_19115	12457	6209	6409	5197	4795	3587	3237	4090	3361	4878	5692	15403	4083	4684	3166	488	572	878	2369	2673	189	9272	3323	2867	3552	3408	3768	3455	5270	3608	5842
B4U62_19120	2697	4079	4167	3214	3227	2983	2361	3565	3118	3956	2744	3229	2017	2505	2784	761	809	1243	2611	4372	158	2286	2076	1833	2025	2190	2134	2068	2863	2071	3001
B4U62_19125	2379	1579	1308	1334	1635	1827	1427	1992	1817	2468	1016	2663	1092	1325	2302	1216	1229	2083	2847	5428	257	2119	1968	1939	2336	962	1085	1307	1365	925	1306
B4U62_19130	4105	3070	2513	2417	3063	3033	2678	2409	2397	3375	2177	4381	1958	2213	3734	329	299	1602	2109	4884	392	3720	794	718	1007	1547	1630	1792	2211	1576	1969
B4U62_19135	17602	18707	17129	17874	17670	16583	12616	15223	12850	19621	15057	21262	11343	11259	12640	1323	1120	2006	6568	7091	775	16478	3376	3137	3602	4721	8075	6322	18073	11406	18472
B4U62_19140	190	576	489	510	944	1097	760	1080	858	1308	921	170	1119	974	1179	168	123	89	163	218	22	183	71	81	168	125	121	95	202	135	177
B4U62_19145	97	269	191	181	341	343	288	403	291	494	373	61	439	402	422	52	69	38	71	67	1	68	58	49	117	64	47	46	90	55	96
B4U62_19150	81	208	163	175	292	282	234	271	284	349	287	65	311	298	314	34	37	27	43	61	3	60	86	54	129	49	40	43	67	56	91
B4U62_19155	211	471	394	421	696	709	515	701	579	806	637	219	717	660	769	60	71	84	116	154	20	189	271	203	372	137	126	107	248	174	253
B4U62_19160	171	553	404	418	787	798	561	827	647	924	680	143	694	674	836	119	86	78	161	176	8	110	357	273	484	154	140	130	238	178	222
B4U62_19165	133	366	305	316	484	453	391	643	459	728	491	141	427	436	538	82	87	55	91	119	6	113	201	144	272	89	76	97	192	158	184
B4U62_19170	98	419	369	328	583	579	389	620	569	807	507	128	457	496	504	73	64	65	128	162	7	90	139	89	208	70	64	84	214	128	204
B4U62_19175	63	331	289	293	461	556	393	580	480	632	412	60	401	370	418	40	46	18	61	67	4	44	38	19	102	34	33	48	152	94	105
B4U62_19180	7119	1827	1655	1597	1593	1121	1052	941	824	1160	1063	8215	685	1079	868	40	24	121	394	384	21	6640	321	247	469	1390	2205	1854	4778	3798	5651
B4U62_19185	8138	2120	1942	1790	1724	1222	1174	1023	875	1294	1138	8730	784	1366	1137	51	44	164	505	449	37	7296	153	157	298	1696	2499	2262	5608	4624	6466
B4U62_19190	1427	313	304	279	254	191	174	114	138	187	140	1527	109	147	135	2	1	18	40	67	3	1197	19	18	34	579	750	702	955	728	1039
B4U62_19195	10403	6821	5764	5830	4744	3895	3289	3610	2778	4287	5001	11905	2437	3062	2274	205	180	530	1694	1713	127	8619	1761	1341	2116	7446	7975	7318	8963	6081	10206
B4U62_19200	2796	1903	1754	1774	1910	1497	1236	1315	1088	1509	1792	3523	865	1000	1355	119	135	364	703	742	54	2519	355	300	506	1217	1209	1205	2287	1381	2350
B4U62_19205	25827	27077	23435	21009	49265	35284	33495	19610	18134	21689	25656	29866	17022	18024	27440	2769	3345	9972	16817	36482	1260	21679	7160	6719	7344	26838	19846	20375	18220	12414	20257
B4U62_19210	528	641	564	543	862	746	640	522	436	649	398	695	524	590	278	14	7	31	129	192	10	530	129	127	186	153	238	198	659	431	656
B4U62_19215	2220	2348	1908	2194	1704	1753	1556	1242	1161	1605	1181	3177	916	1022	1008	12	24	55	231	418	44	2597	277	283	612	341	1099	757	3493	2227	2922
B4U62_19220	2209	14849	10881	10477	35814	25647	26537	13141	14171	15828	11305	1848	12457	14294	15234	1252	815	2371	5843	18080	4858	1565	7684	9151	11381	587	1750	743	3255	2403	2215
B4U62_19225	92	689	606	525	1741	1386	1405	665	722	883	506	87	566	710	913	29	6	58	183	744	197	89	296	418	410	13	70	38	193	112	116
B4U62_19230	49	373	297	268	865	682	862	440	495	515	259	67	330	441	553	29	28	44	127	559	182	33	122	198	229	21	44	15	96	63	55
B4U62_19235	2926	5693	5220	6753	4284	4231	3537	1850	1962	2598	1430	4197	1478	1801	2219	276	164	357	1136	2711	768	3029	711	759	710	391	972	1014	14321	7051	6553
B4U62_19240	455	1937	1804	1477	2858	4483	3503	2124	2132	2703	1552	597	1187	1339	3867	339	310	757	1826	2770	321	412	685	759	615	224	285	307	743	483	836
B4U62_19245	9033	5185	4556	4145	2426	2486	2012	2384	1847	3456	1669	10686	812	1154	2091	62	63	236	856	782	79	7641	1386	1061	1620	2604	3512	2968	4692	3019	5088
B4U62_19250	3877	2610	2413	2194	1400	1574	1247	1439	1240	2076	900	4307	498	682	1662	56	63	153	553	511	72	3388	618	529	799	893	1547	1013	2383	1562	2437
B4U62_19255	11251	7878	6529	7157	6568	4497	3947	4706	3416	5800	3114	12318	2092	2745	4026	77	57	377	1715	1839	308	10217	1992	1664	2378	2873	5162	4161	9879	6485	9562
B4U62_19260	9309	7425	6854	6731	5791	4437	3837	4325	3219	5222	2928	10722	1911	2438	3600	80	48	247	1446	1883	343	8532	1711	1596	1927	2238	4555	3667	10267	6533	8824
B4U62_19265	21528	23002	19143	23320	12677	10985	9128	6241	5163	8046	5985	25829	2891	3484	2923	56	20	466	2449	3026	221	19831	1183	1183	1188	4524	11053	10503	38002	22624	23282
B4U62_19270	14272	14969	12757	14310	11474	10409	7898	8747	6817	11405	10644	17750	5372	5890	7401	305	214	1132	4027	5292	675	14018	10188	7939	11619	5190	6838	6762	18091	10913	14934
B4U62_19275	3218	3728	3161	3477	2887	2410	2177	2700	2363	3655	2776	3394	1551	2033	3190	100	64	307	1564	1376	240	3083	1918	1762	2172	793	1998	1291	4067	2734	3510
B4U62_19280	729	659	579	668	731	610	449	374	323	544	339	823	324	304	320	12	12	49	122	166	15	713	510	379	715	259	385	405	858	553	610
B4U62_19285	7062	3609	3340	3749	6573	6884	4643	5400	4948	7636	6055	6703	6897	6018	5385	480	442	526	1073	1535	102	6166	1587	1135	1685	12848	10142	7908	3459	2566	3613
B4U62_19290	2082	2030	2174	1661	1873	1565	1334	1669	1272	1696	1610	2683	1037	1306	1833	212	178	657	1022	1407	83	1833	1349	1267	1820	977	1110	930	1645	1141	1952
B4U62_19295	84	794	782	793	1886	2241	1587	1714	1642	2542	2019	81	1863	1768	2057	265	274	391	403	682	32	57	105	128	176	46	47	30	39	41	53
B4U62_19300	68	326	330	297	767	934	755	619	590	882	499	81	539	639	930	100	89	235	232	540	25	57	161	177	214	40	32	42	39	47	40
B4U62_19305	174	685	595	541	1571	1544	1363	794	772	1174	728	158	907	914	1280	198	242	547	444	935	45	123	416	378	508	98	93	79	97	72	105
B4U62_19310	706	4242	3399	2515	12980	8246	8623	2583	3020	3127	5368	361	4895	5105	8306	1968	2780	5446	3704	10496	315	281	4679	4819	5338	797	412	479	119	65	89
B4U62_19315	8553	4161	3664	3897	3420	2660	2307	2335	1734	2560	3441	9553	1631	2109	2023	104	102	494	1226	1307	72	7421	463	387	549	2890	3723	3639	5583	3498	5849
B4U62_19320	2892	1917	1717	1650	1376	1136	1035	941	817	1287	1150	3051	539	700	925	49	39	113	352	361	14	2434	142	102	167	996	1111	1077	2344	1462	2506
B4U62_19325	7151	2738	2398	1975	1642	1603	1358	1104	979	1717	1371	7739	748	1383	1579	76	96	220	525	602	84	5624	490	425	693	9568	6598	5864	3649	2834	4287
B4U62_19330	191	10	13	10	13	8	11	5	5	14	6	173	5	5	5	0	0	2	5	2	1	149	4	7	15	5	5	1	6	7	3
B4U62_19335	2278	60	27	42	77	79	77	54	62	78	72	2277	56	58	101	11	12	20	29	29	3	1921	63	28	91	56	32	26	25	22	31
B4U62_19340	702	520	502	399	1450	1264	1126	578	629	693	885	792	1023	1092	1629	279	238	777	1086	1865	73	661	200	195	214	114	76	82	100	77	112
B4U62_19345	2779	1609	1496	1293	4043	3631	3194	1844	1985	2340	2059	2996	2466	2775	5365	1094	1288	3903	3495	7451	390	2398	741	685	794	253	236	224	391	281	442
B4U62_19350	36	123	154	106	407	387	316	182	191	249	156	21	234	249	638	86	69	349	302	908	72	22	31	50	46	13	12	7	29	27	31
B4U62_19355	725	1325	1362	1348	1822	1606	1381	1130	1004	1263	2784	832	1367	1678	2770	394	486	948	1694	1770	121	610	435	367	517	250	208	269	392	256	474
B4U62_19360	280	577	574	536	750	702	565	554	507	658	1132	286	768	811	1255	319	463	390	718	639	52	262	716	661	842	146	105	133	175	132	175
B4U62_19365	29	96	92	81	147	122	118	114	83	123	202	28	174	143	247	38	58	117	180	178	19	35	194	192	261	16	20	19	22	15	27
B4U62_19370	72	534	539	544	689	615	461	503	456	598	1068	68	746	757	1391	312	367	453	958	767	46	81	1133	894	1272	59	35	54	85	67	69
B4U62_19375	60	305	314	291	309	299	258	282	271	325	526	42	396	397	925	278	373	449	711	612	26	45	331	279	456	35	19	33	42	21	44
B4U62_19380	107	408	382	350	507	465	353	334	286	407	765	82	483	517	1147	179	268	439	786	784	51	62	547	454	707	52	32	42	59	41	66
B4U62_19385	1532	16674	15871	11696	38307	34736	30190	16106	17763	21895	17313	766	15876	18480	28496	2096	1997	9335	13387	28847	2664	499	23466	24852	23863	4640	2493	3204	689	581	538
B4U62_19390	88	613	689	543	1408	1478	1156	812	810	1024	757	89	734	799	739	91	90	282	384	538	56	70	369	366	295	85	84	82	200	126	186
B4U62_19395	2584	2870	2768	2472	2978	3375	2706	1803	1711	2474	2225	3181	1598	1821	1695	330	396	498	838	1096	64	2148	413	477	466	1167	1207	1136	2086	1314	2309
B4U62_19400	19026	7550	4872	5125	2631	2002	1851	854	784	1192	2601	19466	902	1088	341	21	101	260	886	936	14	14858	111	149	219	53309	33682	37666	10062	7594	11845
B4U62_19405	34032	14777	8274	9341	4605	3887	3616	1773	1836	2496	5089	35726	2250	2320	916	83	199	427	1562	1567	17	27169	110	103	223	67943	42601	44806	19246	13222	21474
B4U62_19410	1254	2061	1873	1863	1720	1841	1515	1232	1073	1668	1598	1492	875	1000	1395	84	65	135	514	478	31	1117	157	139	218	1011	1000	1074	1505	994	1569
B4U62_19415	188	6430	7410	8756	7167	8717	5337	13903	15596	23452	9626	202	16478	9897	5669	932	1109	447	957	1398	91	150	346	183	403	50	84	65	157	118	152
B4U62_19420	86	651	617	722	1452	1486	1070	1555	1498	2176	1479	94	2319	1838	1577	135	75	81	160	299	18	56	20	21	102	15	20	17	40	40	45
B4U62_19425	140	6264	6180	6539	11628	12831	8265	13343	11877	18076	9215	163	14182	10788	11518	1005	556	266	844	1179	88	120	107	102	339	33	33	32	88	58	67
B4U62_19430	46	1048	929	896	1972	2034	1565	2457	2273	3419	1896	45	2626	2241	3019	229	190	79	172	190	14	44	13	34	139	15	31	21	36	18	30
B4U62_19435	28	58865	60025	70864	101709	144866	81793	196264	180420	300487	258360	21	463635	313299	175398	54575	51033	16468	33577	53029	6836	14	2289	638	2345	137	47	25	14	46	61
B4U62_19440	992	1352	1350	1357	1101	1139	908	740	635	960	976	1165	752	684	765	91	136	117	276	325	13	825	309	288	395	3344	2489	2675	1360	896	1300
B4U62_19445	332	560	383	479	403	455	411	431	384	597	357	457	299	260	202	10	11	8	67	88	1	332	205	242	246	48	106	89	460	250	342
B4U62_19450	1151	663	387	491	307	412	328	530	315	671	612	1540	547	426	287	73	76	79	218	156	13	1040	964	1138	1233	123	88	126	1110	490	896
B4U62_19455	550	300	200	227	341	251	225	177	138	241	231	568	142	118	214	26	29	30	110	81	6	498	157	174	135	187	203	171	382	209	367
B4U62_19460	543	339	228	270	358	345	281	213	190	296	293	590	196	183	254	54	71	72	184	126	6	501	227	214	231	321	273	262	435	228	375
B4U62_19465	452	268	188	239	250	179	246	168	159	239	209	450	126	120	245	98	116	44	192	97	3	408	147	221	268	350	133	200	337	237	327
B4U62_19470	35	66	54	48	51	37	40	49	39	56	45	41	26	27	51	8	1	2	12	17	0	29	29	21	38	15	26	27	41	33	42
B4U62_19475	167	196	175	163	192	195	157	177	169	235	145	181	123	133	207	15	10	22	50	61	4	147	87	47	94	79	110	69	159	108	169
B4U62_19480	370	452	437	368	478	384	337	309	301	484	333	380	293	357	588	63	77	89	242	183	10	334	121	108	183	170	175	182	362	207	352
B4U62_19485	2217	3766	3396	3180	3401	2366	2337	1777	1700	2465	2829	2434	1916	2119	2351	485	646	479	1139	1360	159	1939	433	362	600	1437	1539	1622	2856	1802	2773
B4U62_19490	892	1618	1542	1261	1315	1073	1113	849	774	1135	1096	1020	715	858	1058	21	22	80	311	491	80	815	169	142	188	577	735	677	1233	768	1101
B4U62_19495	2811	6928	7447	5346	6462	4909	4820	3751	3583	5226	5490	2714	4715	5458	6253	907	884	1192	3260	3153	385	2244	1429	1086	1458	3238	3037	2854	4447	2739	3944
B4U62_19500	255	638	698	507	507	430	384	326	289	504	522	252	292	405	510	41	25	33	214	238	31	187	88	78	135	387	347	332	355	216	348
B4U62_19505	868	2020	2352	1481	1405	1206	1158	1060	926	1341	1434	808	814	1192	1222	21	19	47	291	475	66	615	168	107	161	965	1007	939	1213	731	1055
B4U62_19510	39	39	41	38	30	37	29	23	24	24	20	43	18	19	22	0	0	4	5	11	2	41	5	16	105	21	25	33	42	33	46
B4U62_19515	1150	1463	1218	1139	988	777	700	745	565	925	666	1281	429	521	766	44	32	105	332	249	11	1002	128	129	228	429	539	554	1161	751	1311
B4U62_19520	2713	2605	2319	2121	2672	2491	1914	2262	1943	3009	2153	3182	1648	1787	2296	226	220	223	584	623	27	2423	833	626	1161	973	1123	1143	2470	1622	2571
B4U62_19525	580	528	482	490	432	336	287	375	281	499	336	603	233	244	358	24	35	34	140	109	2	481	203	171	248	201	224	228	679	500	729
B4U62_19530	3129	1986	1755	1713	1369	948	843	950	694	1286	948	3621	501	666	842	47	29	113	350	330	10	2791	118	107	165	913	1071	1173	2580	1747	2354
B4U62_19535	3024	2132	1949	1924	1219	964	805	1111	836	1467	967	3253	536	743	1057	110	109	149	490	392	18	2569	94	74	129	1148	1259	1275	2419	1592	2320
B4U62_19540	4693	6132	5879	6816	2736	2778	2256	1859	1936	3047	1980	4295	1520	1357	1508	26	21	69	473	576	13	4398	29	33	31	1185	3486	3100	4077	2453	1923
B4U62_19545	2817	2779	2071	2476	3581	4092	2615	4029	3541	5973	3839	3192	4042	3263	3915	222	209	216	608	512	21	2673	304	216	382	1036	1345	1246	1904	1318	1929
B4U62_19550	6056	3750	2867	3076	2744	2051	1733	2640	1894	3316	2215	6828	1420	1736	2862	377	415	385	1063	866	53	5565	5128	3953	6652	2726	2738	2918	4342	3067	4994
B4U62_19555	1	3	1	1	0	0	0	0	0	4	1	0	0	1	0	1	1	0	0	0	0	0	1	2	0	1	0	1	1	1	1
B4U62_19560	755	2030	1597	1754	1033	848	693	1062	839	1255	1080	915	504	622	513	90	154	141	439	306	19	598	863	693	1135	1552	1362	1403	1161	829	1160
B4U62_19565	491	1342	1049	1057	712	620	491	764	643	1124	787	611	421	487	463	92	78	105	343	237	15	436	280	278	411	533	507	550	735	500	690
B4U62_19570	276	436	386	383	738	654	538	412	466	675	593	309	537	517	398	75	94	144	411	328	3	225	409	314	502	359	255	313	320	185	318
B4U62_19575	225	283	251	278	170	153	160	111	93	111	105	246	48	69	90	3	1	10	46	44	1	193	5	5	57	78	134	130	348	250	336
B4U62_19580	9121	9696	7605	9485	8773	8607	5712	4055	3875	5772	5321	10887	3017	3445	2974	122	73	509	2014	2586	272	8643	883	794	993	3640	5444	5596	16003	9422	9275
B4U62_19585	103	74	54	57	50	63	44	58	48	61	42	121	34	42	52	13	16	22	29	54	2	100	21	28	70	41	43	39	61	46	63
B4U62_19590	325	313	225	233	266	270	198	200	154	289	276	349	199	171	238	17	20	40	108	141	6	284	41	48	159	112	146	112	216	160	257
B4U62_19595	1207	484	411	380	210	218	170	206	168	285	170	1352	80	110	156	12	12	27	79	80	3	1060	62	46	112	407	388	321	564	384	678
B4U62_19600	5591	2243	1651	1993	739	601	595	659	468	721	585	6750	260	387	358	26	29	84	311	289	10	5311	34	40	65	1521	2165	2360	3430	2144	3881
B4U62_19605	3038	3810	3755	3556	4564	3982	3302	2828	2491	3389	4544	2829	2565	2809	3511	353	311	626	2161	1764	120	2462	721	668	713	2515	2689	2804	3615	2352	3234
B4U62_19610	4020	2522	2238	2295	2500	1951	1662	1873	1545	2248	2433	4390	1407	1753	2152	557	783	631	1395	1160	95	3633	1317	1024	1499	4031	3413	3327	3293	2379	3408
B4U62_19615	3064	1292	1141	1059	1143	870	737	1006	773	1161	1105	3511	733	948	910	191	177	261	706	507	49	2566	590	543	631	2205	1997	1905	1941	1591	2269
B4U62_19620	18976	21575	20305	19248	22524	18603	15801	23794	18678	28768	16683	23847	14936	16481	16635	1181	1350	1495	4949	4710	351	17708	1018	914	1143	7102	8778	8093	15986	11086	18619
B4U62_19625	15	2857	3391	2824	5687	6527	4541	6364	6175	9132	5125	13	7025	7177	4984	280	133	110	377	526	37	16	27	42	99	14	7	14	20	13	14
B4U62_19630	2	783	1007	813	740	1055	727	922	998	1383	710	1	610	648	843	16	18	12	68	86	4	4	5	15	23	6	1	5	2	2	6
B4U62_19635	353	567	501	539	706	649	497	806	650	903	853	362	478	506	856	101	97	149	405	355	42	302	256	186	279	156	181	176	318	202	310
B4U62_19640	1173	1386	1160	1212	1564	1267	955	1540	1169	1847	1443	1256	1129	1010	1688	364	413	415	1086	777	62	1018	999	726	1268	509	581	484	1097	732	1101
B4U62_19645	3178	5396	5243	4705	4022	3302	3046	2211	1878	2857	2122	3722	1142	1539	1884	101	113	196	689	795	52	2718	548	442	586	1485	1590	1696	4671	2838	4607
B4U62_19650	429	138	95	95	78	100	54	103	88	151	89	479	96	83	91	34	28	8	67	45	0	381	17	22	117	46	27	27	358	170	270
B4U62_19655	602	949	838	810	1227	1237	839	1628	1343	2194	1017	666	1114	1105	1371	123	220	185	318	302	11	452	134	131	266	889	682	613	795	499	729
B4U62_19660	281	468	474	464	676	708	568	962	767	1180	663	305	665	722	613	44	55	71	159	104	6	195	46	46	74	562	341	426	385	207	365
B4U62_19665	141	93	76	84	52	43	33	69	86	113	69	198	46	64	48	11	10	11	62	43	1	60	10	11	67	80	63	54	190	115	174
B4U62_19670	15497	8947	987	4844	149	126	122	305	228	379	214	15936	233	262	294	94	122	351	960	361	13	12243	57	55	101	490	746	1225	42884	21315	31890
B4U62_19675	5770	4518	1650	2662	975	1269	930	869	774	1542	849	5593	553	537	1188	50	48	249	643	716	32	4172	622	517	706	995	925	1012	14357	6924	10662
B4U62_19680	4372	2561	2426	2417	3105	2789	2290	2457	2053	2810	5505	3949	2706	2831	1866	385	412	999	2627	3035	180	3728	337	255	432	2706	2946	2645	1492	1088	1830
B4U62_19685	211	333	281	275	442	433	329	483	322	570	457	189	304	331	506	39	49	85	159	153	12	173	132	99	155	220	213	216	88	78	111
B4U62_19690	998	18955	18884	17862	35285	37312	24989	34774	28003	44058	23373	1139	18096	17627	25587	571	445	731	2541	2826	161	885	1338	1212	1644	410	522	500	819	583	897
B4U62_19695	1170	1420	1297	1293	1594	1420	1109	1403	1042	1689	1451	1255	804	983	1478	80	104	150	583	392	23	1046	336	292	408	521	511	538	820	602	979
B4U62_19700	2290	2646	2794	2702	3365	3155	2509	2668	2534	3992	2845	2565	1915	2193	2690	183	237	273	707	698	61	2132	623	481	665	1289	2042	2170	2128	1400	2232
B4U62_19705	725	1875	1886	1846	2676	2955	2303	2316	2148	3215	2387	802	2360	2070	2539	374	458	674	1037	1646	100	600	1569	1189	2019	914	899	821	715	451	736
B4U62_19710	2151	2402	2012	2083	2712	2692	2194	2485	2198	3247	2152	2361	1607	1758	2798	254	251	360	900	1154	63	1921	1035	728	1371	753	890	864	1426	965	1540
B4U62_19715	64	159	176	141	232	210	184	154	140	203	134	76	146	179	133	50	49	142	260	278	19	59	4183	3050	5339	91	99	102	74	58	61
B4U62_19720	2195	660	771	689	299	263	214	277	302	416	184	3007	95	167	154	8	8	42	124	125	1	1988	9	12	42	473	978	834	1193	778	1288
B4U62_19725	405	327	294	247	278	228	190	220	158	287	330	547	218	248	330	24	26	60	150	126	6	398	238	215	314	270	253	260	407	245	439
B4U62_19730	4038	1997	1940	1849	1357	1134	974	1003	761	1279	1098	4583	705	827	912	31	27	108	441	433	25	3817	249	132	257	1429	2587	2461	2904	1518	2876
B4U62_19735	10120	18138	15303	12769	17200	12926	11974	8999	6927	8893	23716	11544	18767	17602	9637	5604	6581	2556	8126	6341	310	8618	9277	7158	12705	40937	20910	25914	19548	11741	15753
B4U62_19740	1163	2469	2104	1662	1967	1567	1475	1172	756	1128	3081	1235	1636	1643	1049	595	645	238	833	544	31	948	714	481	1025	4532	2336	2873	2465	1394	1930
